frame,id,topLeftX,topLeftY,bottomRightX,bottomRightY
146,1,111.91,105.98,154.3,156.35
147,1,110.31,104.16,152.71,154.3
148,1,108.49,103.25,150.43,153.85
149,1,104.62,102.79,146.78,152.93
150,1,102.11,102.11,144.05,151.79
151,1,99.145,100.97,141.54,150.88
152,1,96.41,100.97,138.58,150.66
153,1,93.22,100.74,135.38,151.34
154,1,91.396,101.65,133.11,151.79
155,1,89.573,101.65,131.05,152.02
156,1,89.345,101.65,130.14,152.71
157,1,88.661,101.2,129.69,152.25
158,1,87.521,101.2,129.0,151.57
159,1,87.521,101.2,129.0,151.57
160,1,87.293,101.42,129.69,152.02
161,1,88.205,103.7,129.0,153.62
162,1,88.661,105.07,129.0,154.99
163,1,89.117,105.53,129.46,155.44
164,1,89.345,105.53,130.14,155.9
165,1,88.661,107.81,130.14,157.72
166,1,88.889,108.49,129.69,159.32
167,1,88.205,110.77,128.32,160.68
168,1,87.521,111.45,128.32,160.46
169,1,87.066,111.23,127.64,160.23
170,1,86.382,111.68,126.72,160.23
171,1,85.698,111.91,125.81,160.23
172,1,85.242,110.54,124.67,158.86
173,1,84.331,109.4,123.53,157.95
174,1,83.191,107.81,122.62,156.58
175,1,82.051,106.89,121.25,155.21
176,1,81.368,106.21,120.11,153.62
177,1,80.456,105.53,118.97,153.39
178,1,78.86,104.16,117.83,151.79
179,1,77.265,103.02,116.47,151.57
180,1,75.897,103.02,114.87,151.34
181,1,74.302,103.7,112.82,151.79
182,1,71.795,103.7,110.31,152.25
183,1,69.744,104.39,108.26,152.25
184,1,68.604,104.39,107.12,151.79
185,1,67.009,104.39,105.53,151.57
186,1,65.185,104.39,103.93,150.2
187,1,64.045,104.39,102.56,150.43
188,1,63.134,104.39,101.42,150.88
189,1,62.906,104.39,101.2,150.88
190,1,63.818,104.39,101.2,150.88
191,1,64.729,104.16,101.88,151.34
192,1,65.641,105.98,102.56,152.48
193,1,66.553,107.81,104.16,154.3
194,1,67.464,108.26,105.3,154.99
195,1,68.376,108.72,105.98,155.21
196,1,68.376,108.72,106.21,155.44
197,1,69.288,108.72,106.89,155.44
198,1,68.376,108.72,106.21,155.44
199,1,68.148,108.26,105.98,154.3
200,1,66.78,107.81,105.3,153.16
201,1,66.097,106.89,104.39,152.71
202,1,65.185,105.3,104.39,151.79
203,1,64.045,104.39,103.25,150.88
204,1,63.134,102.79,102.56,149.52
205,1,62.906,101.65,101.88,148.83
206,1,62.45,100.28,101.42,147.69
207,1,61.994,99.373,101.42,147.24
208,1,61.994,99.373,101.42,147.24
209,1,63.818,99.373,103.02,147.24
210,1,65.869,98.006,105.3,146.55
211,1,68.832,97.322,107.58,145.87
212,1,70.199,96.866,109.4,144.73
213,1,71.795,95.954,111.0,143.59
214,1,73.846,94.587,112.14,143.59
215,1,75.214,94.131,113.05,142.45
216,1,75.214,93.219,114.19,141.54
217,1,75.669,92.991,114.42,141.54
218,1,76.353,92.991,114.42,141.54
219,1,76.809,92.536,115.56,141.31
220,1,78.86,91.852,116.92,140.85
221,1,79.772,90.94,118.29,139.26
222,1,82.051,90.029,120.34,139.49
223,1,84.103,89.117,122.85,139.26
224,1,86.382,89.573,125.13,139.26
225,1,88.661,89.801,127.41,140.4
226,1,90.256,89.801,129.23,140.63
227,1,91.624,91.624,131.05,142.68
228,1,95.043,93.447,134.02,145.64
229,1,96.866,95.954,136.3,147.24
230,1,99.373,98.006,139.26,150.66
231,1,101.88,100.28,140.85,152.25
232,1,104.16,101.65,143.13,154.3
233,1,105.98,103.02,145.87,155.21
234,1,108.26,104.39,148.15,157.49
235,1,111.22,108.26,152.71,162.28
236,1,113.96,113.28,155.21,167.07
237,1,116.92,115.1,157.04,169.34
238,1,116.01,114.19,158.63,168.66
239,1,117.15,112.82,158.18,168.43
240,1,116.01,111.45,157.04,166.84
241,1,113.5,108.72,155.9,165.24
242,1,110.77,105.53,153.85,162.51
243,1,108.95,101.88,152.93,160.46
244,1,105.75,100.51,149.97,159.09
245,1,101.2,99.829,145.64,158.4
246,1,96.41,98.917,141.54,157.49
247,1,92.308,96.41,136.3,155.9
248,1,87.749,95.043,131.51,153.85
249,1,83.191,92.536,127.86,152.02
250,1,79.088,91.852,124.22,151.34
251,1,74.758,90.712,118.97,150.66
252,1,72.251,90.256,115.78,150.43
253,1,71.795,90.256,115.1,149.52
254,1,74.074,90.256,116.7,149.52
255,1,77.037,91.624,119.43,150.88
256,1,81.596,92.991,124.44,152.93
257,1,85.698,94.815,129.46,154.53
258,1,89.345,95.499,132.88,155.21
259,1,92.536,97.778,135.84,156.58
260,1,94.815,99.829,137.44,158.86
261,1,96.41,103.25,138.8,162.73
262,1,98.461,106.21,140.63,165.01
263,1,100.28,108.72,141.31,166.61
264,1,102.34,111.0,144.05,168.89
265,1,104.16,111.91,146.1,170.26
266,1,106.89,112.36,148.38,169.12
267,1,108.49,111.91,149.74,168.66
268,1,110.77,111.0,152.25,167.07
269,1,112.36,109.86,154.3,164.79
270,1,115.33,106.67,156.35,161.82
271,1,117.61,102.56,159.54,157.95
272,1,119.89,98.917,160.46,153.62
273,1,121.03,95.726,161.82,149.74
274,1,120.8,91.624,162.05,146.1
275,1,119.89,88.661,161.14,142.22
276,1,118.52,85.242,161.14,139.26
277,1,116.47,82.963,159.09,136.75
278,1,113.5,80.0,156.35,133.56
279,1,110.31,75.897,153.39,130.6
280,1,106.89,72.251,151.11,126.27
281,1,103.93,69.744,147.01,123.53
282,1,101.2,67.008,144.5,121.03
283,1,97.778,64.273,141.77,118.29
284,1,95.043,62.45,138.12,117.15
285,1,92.08,60.855,136.52,115.78
286,1,90.028,59.715,135.61,115.56
287,1,88.433,60.171,134.02,116.01
288,1,87.066,61.538,134.02,117.61
289,1,85.926,62.45,132.42,119.2
290,1,84.786,63.818,131.51,120.8
291,1,84.103,66.325,131.05,122.85
292,1,82.735,67.464,130.14,124.9
293,1,81.14,69.288,129.23,127.18
294,1,80.228,70.427,128.09,128.77
295,1,78.632,73.39,126.5,131.05
296,1,77.265,75.897,125.13,133.33
297,1,76.581,77.949,125.13,136.52
298,1,77.037,80.684,125.13,138.8
299,1,77.037,82.507,125.58,141.99
300,1,78.86,84.558,127.41,143.82
301,1,80.684,85.698,129.46,146.1
302,1,82.963,86.382,132.65,147.24
303,1,85.698,87.294,135.84,148.38
304,1,88.205,88.205,138.58,149.52
305,1,91.168,89.117,141.54,149.74
306,1,93.675,89.117,143.59,150.88
307,1,95.955,89.117,145.19,150.88
308,1,98.917,89.117,147.24,150.2
309,1,101.42,89.345,148.38,150.2
310,1,105.98,90.94,152.48,150.66
311,1,108.95,90.256,154.53,149.29
312,1,110.31,89.117,157.72,148.38
313,1,112.82,88.889,159.77,147.24
314,1,114.87,89.117,160.46,147.24
315,1,116.01,88.661,161.37,145.41
316,1,116.24,86.61,162.05,143.13
317,1,115.78,83.875,161.6,141.31
318,1,115.78,83.647,161.14,139.49
319,1,116.47,82.735,160.46,139.03
320,1,117.61,82.507,161.14,136.98
321,1,118.75,79.544,161.37,134.02
322,1,120.34,77.949,162.28,131.74
323,1,121.25,75.897,163.19,129.0
324,1,122.39,73.846,164.33,127.18
325,1,123.3,72.479,165.7,125.58
326,1,124.22,71.795,166.38,124.22
327,1,123.99,70.2,166.38,124.22
328,1,125.13,70.2,166.38,124.22
329,1,124.22,70.655,166.38,123.53
330,1,122.39,71.339,164.33,123.99
331,1,121.25,72.479,163.65,125.36
332,1,120.11,72.251,162.05,125.81
333,1,118.52,74.302,160.0,127.41
334,1,117.15,76.353,158.18,127.86
335,1,115.1,76.353,156.81,129.46
336,1,113.96,76.125,155.21,129.46
337,1,112.14,77.037,153.16,129.69
338,1,110.09,77.037,151.11,129.69
339,1,109.63,77.037,149.97,129.23
340,1,107.35,77.037,148.6,129.23
341,1,105.53,77.037,147.01,128.32
342,1,104.62,75.442,145.64,127.41
343,1,102.34,74.53,144.05,126.27
344,1,100.74,73.846,142.22,126.27
345,1,96.41,73.846,138.12,125.81
346,1,92.991,73.846,135.38,126.5
347,1,90.028,74.758,131.74,127.64
348,1,86.61,74.758,128.55,127.18
349,1,84.786,74.758,126.72,127.64
350,1,84.103,74.986,125.81,126.95
351,1,83.875,74.986,125.81,126.95
352,1,84.103,74.986,125.81,127.41
353,1,84.103,75.897,125.81,127.86
354,1,84.786,77.037,125.81,128.32
355,1,85.014,77.265,125.81,129.23
356,1,86.382,79.088,125.81,129.91
357,1,87.066,80.0,126.95,131.28
358,1,87.977,81.595,127.86,132.19
359,1,89.801,82.963,129.46,133.79
360,1,92.08,84.33,132.88,135.16
361,1,94.359,86.154,135.16,136.3
362,1,96.866,87.521,137.44,137.44
363,1,100.28,89.801,140.4,139.26
364,1,102.79,92.308,142.45,141.99
365,1,105.75,94.587,144.5,143.82
366,1,108.72,95.954,148.15,144.96
367,1,111.0,97.322,150.88,145.87
368,1,114.19,100.06,153.85,148.38
369,1,117.15,102.79,156.35,150.88
370,1,120.11,104.62,158.63,152.93
371,1,123.76,106.44,161.82,154.3
372,1,128.09,108.03,165.93,154.53
373,1,131.74,108.49,170.94,154.99
374,1,136.52,108.72,174.59,155.9
375,1,141.77,108.95,178.69,155.9
376,1,145.19,108.95,183.93,155.44
377,1,149.74,108.26,188.26,154.99
378,1,152.71,108.49,192.36,155.44
379,1,155.44,109.4,194.64,156.58
380,1,159.09,109.4,198.06,157.72
381,1,161.37,111.45,199.89,158.86
382,1,163.42,112.36,202.62,159.54
383,1,164.56,112.36,203.76,160.46
384,1,164.1,113.5,203.53,161.37
385,1,161.14,116.01,201.71,163.65
386,1,159.09,118.06,199.66,166.38
387,1,154.3,120.8,194.87,169.8
388,1,150.43,124.9,190.09,173.45
389,1,147.24,126.5,188.26,176.64
390,1,144.5,130.6,184.84,180.51
391,1,141.99,135.16,183.02,184.39
392,1,141.31,136.3,181.88,186.44
393,1,140.4,137.21,181.42,187.81
394,1,140.63,137.66,181.2,188.26
395,1,140.63,138.58,181.65,190.09
396,1,141.08,138.58,182.34,191.0
397,1,142.22,138.58,183.93,191.0
398,1,142.22,138.58,183.93,191.0
399,1,141.08,137.89,183.25,190.31
400,1,140.63,137.21,183.25,189.4
401,1,138.35,136.75,180.28,189.17
402,1,134.47,135.84,176.64,188.26
403,1,130.37,134.02,172.99,187.81
404,1,125.58,133.11,168.66,186.67
405,1,121.25,132.19,164.56,185.3
406,1,118.29,130.37,161.37,183.02
407,1,116.24,127.41,159.77,180.97
408,1,114.87,125.58,158.63,179.37
409,1,114.87,125.13,158.63,178.23
410,1,116.47,123.76,159.32,177.09
411,1,118.97,122.17,162.96,177.09
412,1,123.08,122.17,166.84,177.09
413,1,126.27,122.85,171.17,179.6
414,1,130.37,124.44,175.04,181.88
415,1,133.33,125.58,179.83,183.25
416,1,134.25,125.58,181.42,184.62
417,1,134.93,126.72,182.56,186.21
418,1,134.47,126.72,183.02,187.35
419,1,133.56,127.18,182.56,188.49
420,1,131.97,126.5,180.97,188.72
421,1,130.83,125.81,180.06,188.26
422,1,125.58,125.36,174.36,187.81
423,1,120.34,125.36,169.57,187.58
424,1,119.43,125.13,169.12,187.58
425,1,119.2,125.58,168.21,188.26
426,1,116.01,125.81,165.01,188.72
427,1,115.1,125.81,165.01,188.72
428,1,117.15,125.81,166.15,188.49
429,1,118.97,126.27,168.21,188.72
430,1,117.38,127.41,166.61,189.63
431,1,116.01,128.32,164.79,191.45
432,1,116.01,129.23,163.65,192.36
433,1,113.28,129.69,160.46,192.36
434,1,111.0,129.69,158.63,192.36
435,1,109.86,129.69,156.81,192.36
436,1,109.63,128.77,155.44,191.45
437,1,106.67,128.77,153.62,190.09
438,1,104.84,127.64,151.79,189.17
439,1,103.02,126.95,149.52,188.03
440,1,100.74,125.58,147.24,186.67
